Relative_cell_proliferation,Androgens,Dutasteride,Replicates
0.939809049,VC,0nM,B1
0.98215027,VC,0nM,B1
0.95724367,VC,0nM,B1
0.98713159,VC,0nM,B1
1.03943545,VC,0nM,B1
1.094229971,VC,0nM,B1
2.638439186,epiT,0nM,B1
2.591116646,epiT,0nM,B1
2.643420506,epiT,0nM,B1
2.506434205,epiT,0nM,B1
2.807804068,epiT,0nM,B1
2.690743047,epiT,0nM,B1
1.696969697,epiDHT,0nM,B1
2.0207555,epiDHT,0nM,B1
1.98090494,epiDHT,0nM,B1
1.98588626,epiDHT,0nM,B1
2.02573682,epiDHT,0nM,B1
2.092984641,epiDHT,0nM,B1
1.228725612,T,0nM,B1
1.395599834,T,0nM,B1
1.320880033,T,0nM,B1
1.490244915,T,0nM,B1
1.542548775,T,0nM,B1
1.363221254,T,0nM,B1
1.310917393,DHT,0nM,B1
1.480282275,DHT,0nM,B1
1.517642175,DHT,0nM,B1
1.507679535,DHT,0nM,B1
1.462847655,DHT,0nM,B1
1.455375675,DHT,0nM,B1
1.099211291,VC,100nM,B1
1.236197592,VC,100nM,B1
1.325861353,VC,100nM,B1
1.410543794,VC,100nM,B1
1.313408053,VC,100nM,B1
1.430469074,VC,100nM,B1
2.04815276,epiT,100nM,B1
2.210045662,epiT,100nM,B1
2.464092985,epiT,100nM,B1
2.411789124,epiT,100nM,B1
2.421751764,epiT,100nM,B1
2.347031963,epiT,100nM,B1
1.97592362,epiDHT,100nM,B1
2.102947281,epiDHT,100nM,B1
2.165213782,epiDHT,100nM,B1
2.217517642,epiDHT,100nM,B1
2.070568701,epiDHT,100nM,B1
2.02573682,epiDHT,100nM,B1
1.243669572,T,100nM,B1
1.475300955,T,100nM,B1
1.482772935,T,100nM,B1
1.393109174,T,100nM,B1
1.522623495,T,100nM,B1
1.442922374,T,100nM,B1
1.298464093,DHT,100nM,B1
1.355749274,DHT,100nM,B1
1.338314653,DHT,100nM,B1
1.226234952,DHT,100nM,B1
1.490244915,DHT,100nM,B1
1.415525114,DHT,100nM,B1
0.91039261,VC,0nM,B2
0.949191686,VC,0nM,B2
1.001847575,VC,0nM,B2
1.010161663,VC,0nM,B2
1.035103926,VC,0nM,B2
1.09330254,VC,0nM,B2
2.423556582,epiT,0nM,B2
2.423556582,epiT,0nM,B2
2.426327945,epiT,0nM,B2
2.409699769,epiT,0nM,B2
2.251732102,epiT,0nM,B2
2.063279446,epiT,0nM,B2
1.938568129,epiDHT,0nM,B2
1.933025404,epiDHT,0nM,B2
1.902540416,epiDHT,0nM,B2
1.977367206,epiDHT,0nM,B2
2.093764434,epiDHT,0nM,B2
1.963510393,epiDHT,0nM,B2
1.353810624,T,0nM,B2
1.367667436,T,0nM,B2
1.503464203,T,0nM,B2
1.348267898,T,0nM,B2
1.47852194,T,0nM,B2
1.464665127,T,0nM,B2
1.309468822,DHT,0nM,B2
1.356581986,DHT,0nM,B2
1.453579677,DHT,0nM,B2
1.431408776,DHT,0nM,B2
1.556120092,DHT,0nM,B2
1.40369515,DHT,0nM,B2
0.84665127,VC,100nM,B2
0.946420323,VC,100nM,B2
1.018475751,VC,100nM,B2
1.087759815,VC,100nM,B2
1.040646651,VC,100nM,B2
1.046189376,VC,100nM,B2
1.946882217,epiT,100nM,B2
1.888683603,epiT,100nM,B2
2.193533487,epiT,100nM,B2
2.340415704,epiT,100nM,B2
2.418013857,epiT,100nM,B2
2.365357968,epiT,100nM,B2
1.921939954,epiDHT,100nM,B2
1.969053118,epiDHT,100nM,B2
2.079907621,epiDHT,100nM,B2
2.237875289,epiDHT,100nM,B2
2.160277136,epiDHT,100nM,B2
2.218475751,epiDHT,100nM,B2
1.387066975,T,100nM,B2
1.481293303,T,100nM,B2
1.506235566,T,100nM,B2
1.475750577,T,100nM,B2
1.583833718,T,100nM,B2
1.484064665,T,100nM,B2
1.334411085,DHT,100nM,B2
1.303926097,DHT,100nM,B2
1.315011547,DHT,100nM,B2
1.522863741,DHT,100nM,B2
1.398152425,DHT,100nM,B2
1.387066975,DHT,100nM,B2
0.901939655,VC,0nM,B3
0.966594828,VC,0nM,B3
1.03125,VC,0nM,B3
1.050646552,VC,0nM,B3
1.044181034,VC,0nM,B3
1.005387931,VC,0nM,B3
2.104525862,epiT,0nM,B3
2.201508621,epiT,0nM,B3
2.411637931,epiT,0nM,B3
2.110991379,epiT,0nM,B3
1.962284483,epiT,0nM,B3
2.211206897,epiT,0nM,B3
1.703663793,epiDHT,0nM,B3
1.907327586,epiDHT,0nM,B3
2.098060345,epiDHT,0nM,B3
2.83512931,epiDHT,0nM,B3
2.780172414,epiDHT,0nM,B3
2.450431034,epiDHT,0nM,B3
1.057112069,T,0nM,B3
1.199353448,T,0nM,B3
1.192887931,T,0nM,B3
1.396551724,T,0nM,B3
1.283405172,T,0nM,B3
1.286637931,T,0nM,B3
1.176724138,DHT,0nM,B3
1.348060345,DHT,0nM,B3
1.399784483,DHT,0nM,B3
1.496767241,DHT,0nM,B3
1.542025862,DHT,0nM,B3
1.448275862,DHT,0nM,B3
0.698275862,VC,100nM,B3
0.720905172,VC,100nM,B3
0.834051724,VC,100nM,B3
0.882543103,VC,100nM,B3
0.91487069,VC,100nM,B3
0.924568966,VC,100nM,B3
1.939655172,epiT,100nM,B3
2.072198276,epiT,100nM,B3
2.389008621,epiT,100nM,B3
2.586206897,epiT,100nM,B3
2.36637931,epiT,100nM,B3
2.485991379,epiT,100nM,B3
1.661637931,epiDHT,100nM,B3
1.771551724,epiDHT,100nM,B3
1.936422414,epiDHT,100nM,B3
2.030172414,epiDHT,100nM,B3
2.101293103,epiDHT,100nM,B3
2.007543103,epiDHT,100nM,B3
1.128232759,T,100nM,B3
1.167025862,T,100nM,B3
1.209051724,T,100nM,B3
1.438577586,T,100nM,B3
1.441810345,T,100nM,B3
1.338362069,T,100nM,B3
1.28987069,DHT,100nM,B3
1.293103448,DHT,100nM,B3
1.425646552,DHT,100nM,B3
1.47737069,DHT,100nM,B3
1.373922414,DHT,100nM,B3
1.364224138,DHT,100nM,B3
